hcp_id,name,specialty,location,experience,rating,fee,degree_qual,kol_score,is_kol,kol_rank,latitude,longitude,degree_centrality,betweenness_centrality
3078,Girija K M B,dentist,Bangalore,22,5.0,1100,BDS,0.363455212621548,0,941,13.046314983962064,77.50776909291744,0.0027457440966501922,0.0001693043241911346
2222,Manjunath B G,pulmonologist,Bangalore,16,5.0,600,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine, DM - Pulmonary Medicine & Critical Care Medicine",0.3633064663678909,0,942,12.9912,77.7232,0.0013728720483250961,0.0
861,Jithendra Kumar G P,orthopedist,Jayanagar,37,3.5,850,"MBBS, MS - Orthopaedics",0.36328048304276256,0,943,12.89666,77.59855,0.0024711696869851732,8.435673088241065e-07
1439,Latha N,gynecologist,Bangalore,31,5.0,600,"MBBS, DGO",0.3632613123546882,0,944,12.91739592595,77.558433907315,0.0027457440966501922,0.0001482559225154325
1342,Shivagami,gynecologist,Bangalore,13,5.0,500,"MBBS, DGO, DNB - Obstetrics & Gynecology, Fellowship in Reproductive Medicine",0.36325802673063745,0,945,12.9091035,77.5497456,0.0027457440966501922,0.00012415348532533293
302,Sowmya C C,general-physician,Bannerghatta Road,26,3.5,950,MBBS,0.3632161159453533,0,946,12.89666,77.59855,0.0016474464579901153,0.0
260,Abbu J,general-physician,Bangalore,5,3.8,850,"MBBS, MD - Radio Diagnosis/Radiology",0.362661962473805,0,947,12.869933617098384,77.65389029794743,0.0027457440966501922,9.628205664847688e-05
143,Bushra Bahjat,general-physician,Richmond Town,11,5.0,1300,"MBBS, MD - General Medicine",0.3620555266391924,0,948,12.966053,77.609366,0.0005491488193300384,0.0
283,Pramila Kumar,general-physician,Bangalore,34,5.0,400,MBBS,0.3618913854057031,0,949,12.965571226634,77.658422291715,0.0027457440966501922,4.094132191154015e-05
146,Vishwanath  M Kamoji,general-physician,Yelahanka,30,3.5,900,MBBS,0.3614499289573294,0,950,13.0950791,77.5159871,0.002196595277320154,0.0
996,Aarpith Kamath M,orthopedist,Bangalore,7,3.8,600,"MBBS, MS - Orthopaedics",0.36127633849788904,0,951,12.874674034926263,77.53788680710056,0.0027457440966501922,0.0001351462332876595
2166,Anand Dothilal,gastroenterologist,Bangalore,21,3.5,1300,"MBBS, MD - Medicine, DM - Gastroenterology",0.3608842534110894,0,952,12.95959,77.64937,0.0027457440966501922,2.5121574489879898e-05
2228,Vishwanath V Bellad,pulmonologist,Bangalore,31,3.5,1000,"MBBS, DNB - Respiratory Diseases",0.36073457909722934,0,953,12.90786,77.56493,0.0027457440966501922,1.4041290476335792e-06
1743,Nandita Patwari,pediatrician,Bangalore,12,5.0,1000,"MD - Pediatrics, MBBS",0.36032813041975664,0,954,12.919020685528771,77.6750701534055,0.0027457440966501922,0.00033980170984139913
597,Abhilasha M D,dermatologist,Jayanagar,11,5.0,800,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",0.3597072182155557,0,955,12.924683214255,77.595441140435,0.0027457440966501922,1.3767483884389179e-05
361,Ramesh Tharwani,general-physician,Bellandur,42,4.0,600,"MBBS, DNB - General Medicine",0.35969261014693005,0,956,12.926312,77.67652,0.002196595277320154,1.8309988098507738e-07
841,Girish Kumar A M,orthopedist,Marathahalli,15,5.0,1500,"MBBS, MS - Orthopaedics",0.35935642489769093,0,957,12.991481704853406,77.70634145368363,0.0002745744096650192,0.0
2914,Silju Mathew,dentist,Bangalore,35,5.0,500,BDS,0.35928727834731156,0,958,13.036974,77.565904,0.0027457440966501922,9.173220880126199e-05
3565,Mahesh T N,ayurveda,Rajajinagar,25,5.0,500,MBBS,0.3592597405154383,0,959,12.99586,77.55149,0.0005491488193300384,0.0
3566,Mahesh T N,ayurveda,Rajajinagar,25,5.0,500,MBBS,0.3592597405154383,0,959,12.822350800744584,77.52155295588446,0.0005491488193300384,0.0
